LOCATION	MONTH	DAY	TEMPaver	PERCIPITATIONmm	CLOUDINESS
GRIC	7	9	19.6	9.1	9
GRIC	7	10	19.2	0.6	5.3
GRIC	7	11	21.8	0	6.7
GRIC	7	12	21.2	0.2	8.3
GRIC	7	13	20.4	3.2	7.7
GRIC	7	14	21.1	0.6	5
GRIC	7	15	21.9	0	4.3
GRIC	7	16	22.4	0	1.3
GRIC	7	17	24.4	0	4
GRIC	7	18	23.5	0	8
GRIC	7	19	25	0	2
GRIC	7	20	26.5	0	1.7
GRIC	7	21	26	0	6.3
GRIC	7	22	26.7	0	4
GRIC	7	23	28.1	0	1.3
GRIC	7	24	27.8	0	1.7
GRIC	7	25	29.4	0	4
GRIC	7	26	26.4	0	4
GRIC	7	27	28.2	0	4
GRIC	7	28	20.6	5.8	9.3
GRIC	7	29	23.5	25.4	8.3
GRIC	7	30	26.2	0	4.7
GRIC	7	31	24.7	9.4	4
GRIC	8	1	24.1	11	6.3
GRIC	8	2	21.3	0	10
GRIC	8	3	22	8	5.7
GRIC	8	4	21.4	0	3
GRIC	8	5	23.9	0	3.3
GRIC	8	6	26.2	0	3.7
GRIC	8	7	27.2	0	5
GRIC	8	8	24.2	0	8.3
GRIC	8	9	26.3	0	3.3
GRIC	8	10	28.4	0	0.7
GRIC	8	11	26.5	0	3
GRIC	8	12	28.6	0	0
GRIC	8	13	23.6	0	9
GRIC	8	14	20.4	17.3	9
GRIC	8	15	20.6	0	2
GRIC	8	16	19.9	0	5
GRIC	8	17	21.7	3.5	2.3
GRIC	8	18	24.4	0	0.7
GRIC	8	19	25.8	0	0.3
GRIC	8	20	27.1	0	0.3
GRIC	8	21	23.1	0	5.3
GRIC	8	22	20.1	0	9
GRIC	8	23	24.1	14.8	7.7
GRIC	8	24	24.3	0	8.3
GRIC	8	25	24.3	0	3
GRIC	8	26	25.5	0	3.3
GRIC	8	27	25.6	0	1.3
GRIC	8	28	26.2	0	3.3
GRIC	8	29	26.5	0	6
GRIC	8	30	26.8	0	3.3
GRIC	8	31	27	0	2
MAKSIMIR	5	1	14.8	1.4	2
MAKSIMIR	5	2	17.4	0	2.7
MAKSIMIR	5	3	15.9	0	8.7
MAKSIMIR	5	4	12.4	5.1	10
MAKSIMIR	5	5	6.8	12.7	10
MAKSIMIR	5	6	7.4	3.3	10
MAKSIMIR	5	7	10.1	0.2	5.3
MAKSIMIR	5	8	14	0	6.7
MAKSIMIR	5	9	10.9	1.1	7.3
MAKSIMIR	5	10	12.5	18.3	6.3
MAKSIMIR	5	11	17.2	2.1	7
MAKSIMIR	5	12	12.5	3.2	9.7
MAKSIMIR	5	13	9.4	15.4	10
MAKSIMIR	5	14	9.1	8.6	10
MAKSIMIR	5	15	7.3	3.7	10
MAKSIMIR	5	16	8.6	17.5	9
MAKSIMIR	5	17	10.8	0.1	7
MAKSIMIR	5	18	15.9	0	9
MAKSIMIR	5	19	15.2	1.8	8.7
MAKSIMIR	5	20	16	2.4	7.7
MAKSIMIR	5	21	14.8	0	8
MAKSIMIR	5	22	16.6	3.8	8
MAKSIMIR	5	23	16.8	9.2	8.7
MAKSIMIR	5	24	17	0	4
MAKSIMIR	5	25	19.4	0	6.7
MAKSIMIR	5	26	19.5	0	8.7
MAKSIMIR	5	27	16.4	1.8	10
MAKSIMIR	5	28	17.9	5.5	9.3
MAKSIMIR	5	29	13.6	8.8	10
MAKSIMIR	5	30	13.6	20.7	10
MAKSIMIR	5	31	16.1	1	8
MAKSIMIR	6	1	20.6	0	4
MAKSIMIR	6	2	20.4	6.8	6
MAKSIMIR	6	3	21.3	0	3.3
MAKSIMIR	6	4	22.6	0	4.7
MAKSIMIR	6	5	20.7	0	8
MAKSIMIR	6	6	23.3	8	2.7
MAKSIMIR	6	7	23.8	0	1
MAKSIMIR	6	8	24.6	0	2.3
MAKSIMIR	6	9	22.9	0	2.3
MAKSIMIR	6	10	25.2	0	0.7
MAKSIMIR	6	11	26.8	0	4.3
MAKSIMIR	6	12	26	1.9	2.3
MAKSIMIR	6	13	27	0	1.7
MAKSIMIR	6	14	25.4	0	2.7
MAKSIMIR	6	15	24.6	0	6.7
MAKSIMIR	6	16	24	0	6
MAKSIMIR	6	17	20.8	11.2	9.3
MAKSIMIR	6	18	22.1	7.5	8.3
MAKSIMIR	6	19	24.6	0.2	3.3
MAKSIMIR	6	20	24.8	0	4
MAKSIMIR	6	21	24.4	0	4.3
MAKSIMIR	6	22	21.7	0	9
MAKSIMIR	6	23	20.9	29.8	9.3
MAKSIMIR	6	24	24.1	5.4	2.3
MAKSIMIR	6	25	25.6	0	4.3
MAKSIMIR	6	26	26.5	0	0.7
MAKSIMIR	6	27	28.6	0	3.7
MAKSIMIR	6	28	23.5	0	1.3
MAKSIMIR	6	29	22.3	0	0.7
MAKSIMIR	6	30	23.7	0	0
MAKSIMIR	7	1	26.3	0	2.7
MAKSIMIR	7	2	24.8	0	3.7
MAKSIMIR	7	3	23.8	1.6	4.7
MAKSIMIR	7	4	20	0	6.3
MAKSIMIR	7	5	24.1	0.2	2
MAKSIMIR	7	6	26.4	0	3
MAKSIMIR	7	7	21.5	1.8	9
MAKSIMIR	7	8	19.4	6	8.7
MAKSIMIR	7	9	19.2	8.7	9.7
MAKSIMIR	7	10	17.3	0.2	5
MAKSIMIR	7	11	19.7	0	7.7
MAKSIMIR	7	12	20.2	0	9
MAKSIMIR	7	13	19.7	3.5	8.3
MAKSIMIR	7	14	20	1.8	5
MAKSIMIR	7	15	20.5	0	5
MAKSIMIR	7	16	20.8	0	1.3
MAKSIMIR	7	17	22.4	0	5.3
MAKSIMIR	7	18	21.5	0	8.7
MAKSIMIR	7	19	23.2	2.4	2.7
MAKSIMIR	7	20	25.1	0	0.7
MAKSIMIR	7	21	25.2	0	7
MAKSIMIR	7	22	25.3	0	5.3
MAKSIMIR	7	23	26.6	0	1
MAKSIMIR	7	24	26.6	0	2.7
MAKSIMIR	7	25	27.1	0	4.3
MAKSIMIR	7	26	25.1	0	5
MAKSIMIR	7	27	27.7	0	5.7
MAKSIMIR	7	28	19.7	10.8	8
MAKSIMIR	7	29	22.4	35.2	8.7
MAKSIMIR	7	30	25.6	0	5
MAKSIMIR	7	31	23.6	4.6	4.7
MAKSIMIR	8	1	23.1	8.3	6
MAKSIMIR	8	2	21.9	0	9.3
MAKSIMIR	8	3	21.8	7.9	6.3
MAKSIMIR	8	4	21	0	3.7
MAKSIMIR	8	5	22.7	0	4
MAKSIMIR	8	6	25.9	0	5.7
MAKSIMIR	8	7	26.7	0	5.7
MAKSIMIR	8	8	23.6	0	8
MAKSIMIR	8	9	24.2	0	3.3
MAKSIMIR	8	10	27.1	0	2
MAKSIMIR	8	11	25	0	2.7
MAKSIMIR	8	12	27.2	0	0
MAKSIMIR	8	13	23.1	0	9
MAKSIMIR	8	14	19.5	16.9	9.3
MAKSIMIR	8	15	19.2	0	2.3
MAKSIMIR	8	16	18.4	0	5
MAKSIMIR	8	17	20.1	2.2	3.3
MAKSIMIR	8	18	23	0	1.3
MAKSIMIR	8	19	25	0	1
MAKSIMIR	8	20	25.6	0	0.7
MAKSIMIR	8	21	22.4	0	5
MAKSIMIR	8	22	19.7	0	9
MAKSIMIR	8	23	23.6	21.4	9.3
MAKSIMIR	8	24	24.9	0	8.3
MAKSIMIR	8	25	23.3	0	4.7
MAKSIMIR	8	26	24.2	0	5.7
MAKSIMIR	8	27	24.2	0	1.7
MAKSIMIR	8	28	24.8	0	3
MAKSIMIR	8	29	25.1	0	6.3
MAKSIMIR	8	30	25.9	0	2.7
MAKSIMIR	8	31	25.3	0	1.3
